,id,date,activity_mean,circumplex.arousal_mean,circumplex.valence_mean,mood_mean,appCat.builtin_sum,appCat.communication_sum,appCat.entertainment_sum,appCat.finance_sum,appCat.game_sum,appCat.office_sum,appCat.other_sum,appCat.social_sum,appCat.travel_sum,appCat.unknown_sum,appCat.utilities_sum,appCat.weather_sum,call_sum,screen_sum,sms_sum,day,weekDay,activity_mean_time_1,circumplex.arousal_mean_time_1,circumplex.valence_mean_time_1,appCat.builtin_sum_time_1,appCat.communication_sum_time_1,appCat.entertainment_sum_time_1,appCat.finance_sum_time_1,appCat.game_sum_time_1,appCat.other_sum_time_1,appCat.social_sum_time_1,appCat.travel_sum_time_1,appCat.unknown_sum_time_1,appCat.utilities_sum_time_1,appCat.weather_sum_time_1,call_sum_time_1,screen_sum_time_1,sms_sum_time_1,activity_mean_time_2,circumplex.arousal_mean_time_2,circumplex.valence_mean_time_2,mood_mean_time_2,appCat.builtin_sum_time_2,appCat.communication_sum_time_2,appCat.entertainment_sum_time_2,appCat.finance_sum_time_2,appCat.game_sum_time_2,appCat.office_sum_time_2,appCat.other_sum_time_2,appCat.social_sum_time_2,appCat.travel_sum_time_2,appCat.unknown_sum_time_2,appCat.utilities_sum_time_2,appCat.weather_sum_time_2,call_sum_time_2,screen_sum_time_2,sms_sum_time_2,activity_mean_time_3,circumplex.arousal_mean_time_3,circumplex.valence_mean_time_3,mood_mean_time_3,appCat.builtin_sum_time_3,appCat.communication_sum_time_3,appCat.entertainment_sum_time_3,appCat.finance_sum_time_3,appCat.game_sum_time_3,appCat.office_sum_time_3,appCat.other_sum_time_3,appCat.social_sum_time_3,appCat.travel_sum_time_3,appCat.unknown_sum_time_3,appCat.utilities_sum_time_3,appCat.weather_sum_time_3,call_sum_time_3,screen_sum_time_3,sms_sum_time_3,activity_mean_time_4,circumplex.arousal_mean_time_4,circumplex.valence_mean_time_4,mood_mean_time_4,appCat.builtin_sum_time_4,appCat.communication_sum_time_4,appCat.entertainment_sum_time_4,appCat.finance_sum_time_4,appCat.game_sum_time_4,appCat.office_sum_time_4,appCat.other_sum_time_4,appCat.social_sum_time_4,appCat.travel_sum_time_4,appCat.unknown_sum_time_4,appCat.utilities_sum_time_4,appCat.weather_sum_time_4,call_sum_time_4,screen_sum_time_4,sms_sum_time_4,activity_mean_time_5,circumplex.arousal_mean_time_5,circumplex.valence_mean_time_5,mood_mean_time_5,appCat.builtin_sum_time_5,appCat.communication_sum_time_5,appCat.entertainment_sum_time_5,appCat.finance_sum_time_5,appCat.game_sum_time_5,appCat.office_sum_time_5,appCat.other_sum_time_5,appCat.social_sum_time_5,appCat.travel_sum_time_5,appCat.unknown_sum_time_5,appCat.utilities_sum_time_5,appCat.weather_sum_time_5,call_sum_time_5,screen_sum_time_5,sms_sum_time_5,lastTimeSeenMood_1,lastTimeSeenMood_2,lastTimeSeenMood_3,numberOfTimesSeenMood5Days_3,lastTimeSeenMood_4,numberOfTimesSeenMood5Days_4,lastTimeSeenMood_5,numberOfTimesSeenMood5Days_5,lastTimeSeenMood_6,numberOfTimesSeenMood5Days_6,lastTimeSeenMood_7,numberOfTimesSeenMood5Days_7,lastTimeSeenMood_8,numberOfTimesSeenMood5Days_8,lastTimeSeenMood_9,numberOfTimesSeenMood5Days_9,mood_mean_TARGET,AS14.01,AS14.02,AS14.03,AS14.05,AS14.06,AS14.07,AS14.08,AS14.09,AS14.12,AS14.13,AS14.14,AS14.15,AS14.16,AS14.17,AS14.19,AS14.20,AS14.23,AS14.24,AS14.25,AS14.26,AS14.27,AS14.28,AS14.29,AS14.30,AS14.31,AS14.32,AS14.33,day__0.0,day__0.16666666666666666,day__0.3333333333333333,day__0.5,day__0.6666666666666666,day__0.8333333333333334,day__1.0
0,AS14.17,04-03-14,0,0.625,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0.161290323,0,0,0.133928571,0.166666667,0,0.625,1,0,0,0,0,0,0,0,0,0,0,0,0.161290323,0,0,0,0.642857143,0.714285714,0.593908629,0,0,0,0,0,0,0,0,0,0,0,0,0.102040816,0,0.083333333,0,0.637931034,0.649350649,0.602649007,0,0,0,0,0,0,0,0,0,0,0,0,0.092592593,0,0.166666667,0,0.594827586,0.526315789,0.573712256,0,0,0,0,0,0,0,0,0,0,0,0,0.103448276,0,0.128205128,0,0.583769634,0.44991511,0.550898204,0,0,0,0,0,0,0,0,0,0,0,0,0.153846154,0,0.108695652,0.12,0.12,0.128712871,0,0.13,0,0.151162791,0,0.166666667,0,0,0.022222222,0.164556962,0,0.128712871,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,AS14.08,05-03-14,0,0.5,0.487179487,6.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.333333333,0,0.5,0.487179487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571,0.416666667,0.458544839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291666667,0,0.586206897,0.432900433,0.470198675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366666667,0,0.551724138,0.338345865,0.431616341,0,0,0,0,0,0,0,0,0,0,0,0,0.017241379,0,0.282051282,0,0.544502618,0.280135823,0.401197605,0,0,0,0,0,0,0,0,0,0,0,0,0.015384615,0,0.282608696,0.05,0.05,0.059405941,0,0.06,0,0.069767442,0,0,0.03030303,0.109090909,0,0.075949367,0,0.059405941,0,7.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,AS14.17,05-03-14,0,0.666666667,0.794871795,8,0,0,0,0,0,0,0,0,0,0,0,0,0.032258065,0,0.058823529,0.142857143,0.333333333,0,0.666666667,0.794871795,0,0,0,0,0,0,0,0,0,0,0,0.032258065,0,0.058823529,0,0.738095238,0.952380952,0.695431472,0,0,0,0,0,0,0,0,0,0,0,0,0.12244898,0,0.041666667,0,0.706896552,0.822510823,0.701986755,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0.1,0,0.652298851,0.676691729,0.680284192,0,0,0,0,0,0,0,0,0,0,0,0,0.103448276,0,0.153846154,0,0.636125654,0.58573854,0.663173653,0,0,0,0,0,0,0,0,0,0,0,0,0.107692308,0,0.130434783,0.13,0.13,0.138613861,0,0.14,0,0.162790698,0,0.179487179,0,0.018181818,0.022222222,0,0.071428571,0.138613861,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,AS14.08,06-03-14,0,0.35,0.569230769,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.764705882,0.151785714,0.5,0,0.35,0.569230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.764705882,0,0.485714286,0.523809524,0.546531303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541666667,0,0.524137931,0.510822511,0.556291391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0.5,0.406015038,0.523978686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.615384615,0,0.497382199,0.341256367,0.498502994,0,0,0,0,0,0,0,0,0,0,0,0,0.015384615,0,0.52173913,0.06,0.06,0.069306931,0,0.07,0,0.081395349,0,0.012820513,0.03030303,0,0.022222222,0.088607595,0,0.069306931,0,7.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,AS14.17,07-03-14,0,0.6875,0.692307692,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160714286,0.666666667,0,0.6875,0.692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.669642857,0.670050761,0,0,0,0,0,0,0,0,0,0,0,0,0.020408163,0,0,0,0.784482759,0.79004329,0.718543046,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0.033333333,0,0.760057471,0.87406015,0.6669627,0,0,0,0,0,0,0,0,0,0,0,0,0.120689655,0,0.025641026,0,0.734293194,0.764006791,0.649139222,0,0,0,0,0,0,0,0,0,0,0,0,0.107692308,0,0.065217391,0.15,0.15,0.158415842,0,0.16,0,0.186046512,0,0.205128205,0,0,0.066666667,0.025316456,0.071428571,0.158415842,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,AS14.17,08-03-14,0,0.6,0.630769231,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169642857,0.833333333,0,0.6,0.630769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.735714286,0.678571429,0.705583756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.756896552,0.720779221,0.69205298,0,0,0,0,0,0,0,0,0,0,0,0,0.018518519,0,0,0,0.751436782,0.738721805,0.698934281,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0,0.025641026,0,0.765706806,0.845500849,0.656437126,0,0,0,0,0,0,0,0,0,0,0,0,0.107692308,0,0.02173913,0.16,0.16,0.168316832,0,0.17,0,0.197674419,0,0.217948718,0,0,0.088888889,0.037974684,0.071428571,0.168316832,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,AS14.17,09-03-14,0,0.7,0.692307692,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0.161290323,0,0,0.178571429,1,0,0.7,0.692307692,0,0,0,0,0,0,0,0,0,0,0,0.161290323,0,0,0,0.742857143,0.678571429,0.675126904,0,0,0,0,0,0,0,0,0,0,0,0,0.102040816,0,0,0,0.787931034,0.753246753,0.688741722,0,0,0,0,0,0,0,0,0,0,0,0,0.092592593,0,0,0,0.762931034,0.70112782,0.656305506,0,0,0,0,0,0,0,0,0,0,0,0,0.103448276,0,0,0,0.789267016,0.743633277,0.665419162,0,0,0,0,0,0,0,0,0,0,0,0,0.107692308,0,0.02173913,0.17,0.17,0.178217822,0,0.18,0,0.209302326,0,0.230769231,0,0,0.111111111,0.050632911,0.071428571,0.178217822,0,7.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,AS14.17,10-03-14,0,0.666666667,0.58974359,7.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,0,0,0.666666667,0.58974359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.780952381,0.654761905,0.648054146,0,0,0,0,0,0,0,0,0,0,0,0,0.102040816,0,0,0,0.779310345,0.70995671,0.677704194,0,0,0,0,0,0,0,0,0,0,0,0,0.092592593,0,0,0,0.777298851,0.691729323,0.660746004,0,0,0,0,0,0,0,0,0,0,0,0,0.086206897,0,0,0,0.789267016,0.675721562,0.635479042,0,0,0,0,0,0,0,0,0,0,0,0,0.092307692,0,0,0.18,0.18,0.188118812,0,0.19,0,0.220930233,0,0.243589744,0,0,0.133333333,0.063291139,0.071428571,0.188118812,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,AS14.08,10-03-14,0,0.25,0.569230769,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235294118,0.1875,0,0,0.25,0.569230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235294118,0,0.285714286,0.678571429,0.593908629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.379310345,0.753246753,0.602649007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0,0.431034483,0.751879699,0.595026643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179487179,0,0.387434555,0.714770798,0.577844311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434782609,0.1,0.1,0.108910891,0,0.11,0,0.127906977,0,0,0.060606061,0.018181818,0.088888889,0.139240506,0,0.108910891,0,6.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,AS14.17,11-03-14,0,0.5,0.507692308,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196428571,0.166666667,0,0.5,0.507692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0.547619048,0.546531303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737931034,0.658008658,0.584988962,0,0,0,0,0,0,0,0,0,0,0,0,0.092592593,0,0,0,0.712643678,0.62406015,0.591474245,0,0,0,0,0,0,0,0,0,0,0,0,0.086206897,0,0,0,0.75,0.640067912,0.588323353,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0,0,0.19,0.19,0.198019802,0,0.2,0,0.23255814,0,0,0.03030303,0.018181818,0.133333333,0.075949367,0.071428571,0.198019802,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
